course_id,course_name,credits,cycle,subject_type_id,evaluation_system_id,total_weekly_hours,weekly_theory_hours,weekly_practice_hours,weekly_practice_laboratory_hours,weekly_laboratory_hours,max_cycle,min_cycle,note,required_credits,position
BEF01,Ética Y Filosofía Política,2,1,1,5,3,1,,2,,,,"",,
BMA01,Calculo Diferencial,5,1,1,6,6,4,,2,,,,"",,
BQU01,Quimica I,5,1,1,7,6,4,,2,,,,"",,
BRC01,Redacción Y Comunicación,2,1,1,5,3,1,,2,,,,"",,
FB101,Geometría Analítica,3,1,1,6,4,2,,2,,,,"",,
GE101,Introducción a Ingeniería Industrial,3,1,1,7,4,2,,2,,,,"",,
TE101,Dibujo de Ingeniería,2,1,1,5,4,0,,4,,,,"",,
BIC01,Introducción a la Computación,2,2,1,7,3,1,,2,,,,"",,
BMA02,Calculo Integral,5,2,1,6,6,4,,2,,,,"",,
BMA03,Algebra Lineal,4,2,1,6,5,3,,2,,,,"",,
BRN01,"Realidad Nacional, Constitución Y Derechos Humanos",3,2,1,5,4,2,,2,,,,"",,
FB202,Química II,4,2,1,7,5,3,,2,,,,"",,
HU102,Desarrollo Personal,2,2,1,5,4,0,,4,,,,"",,
SI204,Teoría General de Sistemas,2,2,1,5,4,0,,4,,,,"",,
BFI01,Física 1,5,3,1,7,6,4,,2,,,,"",,
FB301,Matemática Discreta,3,3,1,6,4,2,,2,,,,"",,
FB303,Calculo Multivariable,5,3,1,6,6,4,,2,,,,"",,
HU301,Metodología de la Investigación,2,3,1,5,4,0,,4,,,,"",,
TE301,Físico Química y Operaciones Unitarias,4,3,1,7,5,3,,2,,,,"",,
TE302,Diseño Asistido por Computador,3,3,1,5,4,2,,2,,,,"",,
BEG01,Economía General,3,4,1,7,4,2,,2,,,,"",,
FB305,Estadística y Probabilidades,3,4,1,6,4,2,,2,,,,"",,
FB401,Física II,5,4,1,6,6,4,,2,,,,"",,
FB403,Ecuaciones Diferenciales,5,4,1,6,6,4,,2,,,,"",,
SI401,Lenguaje de Programación,3,4,1,7,5,1,,4,,,,"",,
TE401,Termodinámica,3,4,1,7,4,2,,2,,,,"",,
FB405,Estadística Aplicada,3,5,1,6,4,2,,2,,,,"",,
GE502,Ingeniería del Trabajo I,3,5,1,7,4,2,,2,,,,"",,
HU201,Sociología,2,5,1,2,2,2,,0,,,,"",,
SI501,Investigación de Operaciones I,3,5,1,7,4,2,,2,,,,"",,
TE501,Electricidad y Electrónica Industrial,4,5,1,7,5,3,,2,,,,"",,
TE502,Resistencia de Materiales,3,5,1,7,4,2,,2,,,,"",,
TE503,Procesos Industriales I,4,5,1,7,6,2,,4,,,,"",,
TE603,Control Estadístico De Procesos,3,5,1,6,4,2,,2,,,,"",,
GE602,Contabilidad Financiera,3,6,1,7,4,2,,2,,,,"",,
GE603,Ingeniería del Trabajo II,3,6,1,7,4,2,,2,,,,"",,
GE604,Administración y Organización,3,6,1,7,4,2,,2,,,,"",,
SI601,Investigación de Operaciones II,3,6,1,7,4,2,,2,,,,"",,
TE601,Ingeniería de Materiales,3,6,1,7,4,2,,2,,,,"",,
TE602,Procesos Industriales II,4,6,1,7,6,2,,4,,,,"",,
GE701,Logística Empresarial,3,7,1,7,4,2,,2,,,,"",,
GE702,Ingeniería Económica,3,7,1,7,4,2,,2,,,,"",,
GE704,Contabilidad de Costos y Presupuestos,3,7,1,7,4,2,,2,,,,"",,
SI503,Ingeniería de Procesos,3,7,1,7,4,2,,2,,,,"",,
SI701,Modelado Sistémico y Simulación,3,7,1,7,4,2,,2,,,,"",,
TE701,Análisis de Procesos de Manufactura,3,7,1,7,4,2,,2,,,,"",,
GE709,Sistemas de Calidad,3,8,1,7,4,2,,2,,,,"",,
GE802,Gestión de la Cadena de Suministro,3,8,1,7,4,2,,2,,,,"",,
GE805,Mercadotecnia,3,8,1,7,4,2,,2,,,,"",,
TE801,Automatización y Control de Procesos,3,8,1,7,4,2,,2,,,,"",,
TE802,Ingeniería del Producto,3,8,1,7,4,2,,2,,,,"",,
GE002,Finanzas,3,9,1,7,4,2,,2,,,,"",,
