from_course_id,to_course_id,relationship_type_id
BMA01,BMA02,1
FB101,BMA03,1
BIC01,FB301,1
BMA01,FB305,1
BIC01,SI205,1
IA001,SI205,1
BMA02,BFI01,1
BMA01,FB303,1
BMA02,FB303,1
FB305,IA002,1
FB301,SW301,1
SI205,SW303,1
SI205,SW305,1
BFI01,FB401,1
FB303,FB403,1
IA002,IA005,1
SW303,SI405,1
SW305,SW403,1
SW303,SW405,1
FB303,FB402,1
SW403,FB402,1
HU102,HU501,1
IA005,IA007,1
IA005,IA008,1
SI405,SI505,1
SW301,SW407,1
SW403,SW603,1
IA007,IA004,1
IA008,IA009,1
IA007,IA010,1
IA007,IA011,1
IA005,IA012,1
IA008,IA018,1
SW405,SW505,1
SW505,GEB04,1
IA011,IA013,1
IA010,IA014,1
IA010,IA019,1
IA009,IA021,1
IA018,IA027,1
SW505,SW115,1
IA014,IA016,1
IA019,IA017,1
IA011,IA020,1
IA014,IA023,1
GEB04,SW004,1
IA027,SW703,1
IA023,IA015,1
IA017,IA022,1
IA023,IA024,1
SW703,SW122,1
IA022,IA025,1
IA021,IA026,1
FB403,FB501,1
BEG01,GE704,1
IA012,IA110,1
IA021,IA112,1
IA010,IA114,1
IA016,IA116,1
IA012,IA118,1
IA010,IA120,1
IA020,IA122,1
IA021,IA124,1
IA010,IA126,1
IA022,IA128,1
SW703,IA130,1
SW505,IA132,1
IA027,SW005,1
IA021,SW110,1
IA020,SW113,1
IA013,SW116,1
SW703,SW120,1
SW122,SW124,1
SW505,SW125,1
SW004,SW140,1
