course_id,course_name,credits,cycle,subject_type_id,evaluation_system_id,total_weekly_hours,weekly_theory_hours,weekly_practice_hours,weekly_practice_laboratory_hours,weekly_laboratory_hours,max_cycle,min_cycle,note,required_credits,position
BIC01,Introducción a la Computación,2,1,1,,,,,,,,,"",,
BMA01,Calculo Diferencial,5,1,1,,,,,,,,,"",,
BQU01,Quimica I,5,1,1,,,,,,,,,"",,
BRC01,Redacción Y Comunicación,2,1,1,,,,,,,,,"",,
FB101,Geometría Analítica,3,1,1,,,,,,,,,"",,
HU102,Desarrollo Personal,2,1,1,,,,,,,,,"",,
SW101,Introducción a la Ingeniería de Software,3,1,1,,,,,,,,,"",,
BFI01,Física 1,5,2,1,,,,,,,,,"",,
BMA02,Calculo Integral,5,2,1,,,,,,,,,"",,
BMA03,Algebra Lineal,4,2,1,,,,,,,,,"",,
FB301,Matemática Discreta,3,2,1,,,,,,,,,"",,
SI205,Algoritmia y Estructura de datos,3,2,1,,,,,,,,,"",,
TE205,Dibujo y Geometría Descriptiva,2,2,1,,,,,,,,,"",,
FB303,Calculo Multivariable,5,3,1,,,,,,,,,"",,
FB305,Estadística y Probabilidades,3,3,1,,,,,,,,,"",,
FB401,Física II,5,3,1,,,,,,,,,"",,
SW301,Arquitectura de Computadoras I,2,3,1,,,,,,,,,"",,
SW303,Lenguajes de Programación I (Imperativo),4,3,1,,,,,,,,,"",,
SW305,Algoritmia y Estructura de Datos Avanzada,3,3,1,,,,,,,,,"",,
BEF01,Ética Y Filosofía Política,2,4,1,,,,,,,,,"",,
FB403,Ecuaciones Diferenciales,5,4,1,,,,,,,,,"",,
SW401,Análisis y Modelamiento de Datos,4,4,1,,,,,,,,,"",,
SW403,Lenguaje de Programación II (Orientado a Objetos),4,4,1,,,,,,,,,"",,
SW405,Ingeniería de requerimientos I,3,4,1,,,,,,,,,"",,
SW407,Sistemas Operativos,3,4,1,,,,,,,,,"",,
BEG01,Economía General,3,5,1,,,,,,,,,"",,
BRN01,"Realidad Nacional, Constitución Y Derechos Humanos",3,5,1,,,,,,,,,"",,
HU501,Taller de efectividad personal,2,5,1,,,,,,,,,"",,
SI505,Diseño de Base de Datos,3,5,1,,,,,,,,,"",,
SW501,Arquitectura de Computadoras II,3,5,1,,,,,,,,,"",,
SW503,Análisis y Modelamiento de Comportamiento,4,5,1,,,,,,,,,"",,
SW505,"Construcción de software I (fundamentos, practicas)",4,5,1,,,,,,,,,"",,
SW507,Redes y Comunicaciones,3,5,1,,,,,,,,,"",,
FB405,Estadística Aplicada,3,6,1,,,,,,,,,"",,
SI501,Investigación de Operaciones I,3,6,1,,,,,,,,,"",,
SW601,Etica en la Ingeniería de Software,2,6,1,,,,,,,,,"",,
SW603,Diseño de Software,3,6,1,,,,,,,,,"",,
SW605,Ingeniería de requerimientos II,3,6,1,,,,,,,,,"",,
SW608,Lenguajes de Dominio Especifico,4,6,1,,,,,,,,,"",,
SW609,Sistemas de Gestión de Base de Datos,4,6,1,,,,,,,,,"",,
SW701,"Gestión del mantenimiento, configuración y cambios del software",3,7,1,,,,,,,,,"",,
SW703,Sistemas embebidos y en tiempo real,3,7,1,,,,,,,,,"",,
