codigo_curso;nombre_curso;seccion;evaluacion;nombre_docente;tipo;aula;dia;inicio;fin;vacantes;;
BIC01;INTRODUCCION A LA COMPUTACION;Z;F;JANJACHI TORIBIO,  CARLOS ALBERTO;T;S1-226;SA;9;10;26;;
BIC01;INTRODUCCIÓN A LA COMPUTACIÓN;U;F;HUAROTE ZEGARRA RAUL EDUARDO;P;LAB-O;SA;9;11;45;;
BIC01;INTRODUCCIÓN A LA COMPUTACIÓN;U;F;HUAROTE ZEGARRA RAUL EDUARDO;T;LAB-O;SA;8;9;45;;
BIC01;INTRODUCCIÓN A LA COMPUTACIÓN;V;F;TORRE CAMONES,  ANIVAL ALFREDO;P;S1-126;SA;9;11;32;; 
BIC01;INTRODUCCIÓN A LA COMPUTACIÓN;V;F;TORRE CAMONES,  ANIVAL ALFREDO;T;S1-126;SA;8;9;32;;
BIC01;INTRODUCCIÓN A LA COMPUTACIÓN;W;F;RODRÍGUEZ ULLOA,  RICARDO AURELIO;P;LAB-O;MA;9;11;45;;
BIC01;INTRODUCCIÓN A LA COMPUTACIÓN;W;F;RODRÍGUEZ ULLOA,  RICARDO AURELIO;T;LAB-O;MA;8;9;45;;
BIC01;INTRODUCCIÓN A LA COMPUTACIÓN;X;F;TORRE CAMONES,  ANIVAL ALFREDO;P;S1-124;MA;14;16;24;;
BIC01;INTRODUCCIÓN A LA COMPUTACIÓN;X;F;TORRE CAMONES,  ANIVAL ALFREDO;T;S1-124;MA;13;14;24;;
BIC01;INTRODUCCIÓN A LA COMPUTACIÓN;Y;F;NAVARRO NEYRA,  MIGUEL ANGEL;P;LAB-O;JU;12;14;45;;
BIC01;INTRODUCCIÓN A LA COMPUTACIÓN;Y;F;NAVARRO NEYRA,  MIGUEL ANGEL;T;LAB-O;JU;11;12;45;;
BMA01;CALCULO DIFERENCIAL;U;G;CUTIPA COAQUIRA, MIGUEL  ;P;S4-212;MI;12;14;37;;
BMA01;CALCULO DIFERENCIAL;U;G;ECHEANDIA CESPEDES, JAVIER FRANCISCO;T;S4-214;VI;12;14;37;;
BMA01;CALCULO DIFERENCIAL;U;G;ECHEANDIA CESPEDES, JAVIER FRANCISCO;T;S4-105;SA;8;10;37;;
BMA01;CALCULO DIFERENCIAL;V;G;VASQUEZ DOMINGUEZ, RIQUELMER APOLINARIO;P;S4-208;MI;12;14;42;;
BMA01;CALCULO DIFERENCIAL;V;G;VASQUEZ DOMINGUEZ, RIQUELMER APOLINARIO;T;S4-210;VI;8;10;42;;
BMA01;CALCULO DIFERENCIAL;V;G;VASQUEZ DOMINGUEZ, RIQUELMER APOLINARIO;T;S4-210;MI;16;18;42;;
BMA01;CALCULO DIFERENCIAL;W;G;HUAMAN SANCHEZ, ALEJANDRO APOLINARIO;P;S4-105;MI;12;14;42;;
BMA01;CALCULO DIFERENCIAL;W;G;HUAMAN SANCHEZ, ALEJANDRO APOLINARIO;T;S4-112;MA;8;10;42;;
BMA01;CALCULO DIFERENCIAL;W;G;HUAMAN SANCHEZ, ALEJANDRO APOLINARIO;T;S4-105;MI;8;10;42;;
BMA01;CALCULO DIFERENCIAL;X;G;BERMEO CARRASCO, OSMAR ARNALDO;P;S4-206;MI;12;14;42;;
BMA01;CALCULO DIFERENCIAL;X;G;BERMEO CARRASCO, OSMAR ARNALDO;T;S4-206;LU;8;10;42;;
BMA01;CALCULO DIFERENCIAL;X;G;BERMEO CARRASCO, OSMAR ARNALDO;T;S4-206;VI;8;10;42;;
BMA01;CALCULO DIFERENCIAL;Y;G;SALAZAR FLORES ELIZABETH;P;S4-216;MI;12;14;37;;
BMA01;CALCULO DIFERENCIAL;Y;G;CERNADES GOMEZ, JESUS;T;S4-214;LU;8;10;37;;
BMA01;CALCULO DIFERENCIAL;Y;G;CERNADES GOMEZ, JESUS;T;S4-214;JU;8;10;37;;
BMA01;CALCULO DIFERENCIAL;Z;G;NN;P;S4-202;MI;12;14;37;;
BMA01;CALCULO DIFERENCIAL;Z;G;ECHEANDIA CESPEDES, JAVIER FRANCISCO;T;S4-210;MA;16;18;37;;
BMA01;CALCULO DIFERENCIAL;Z;G;ECHEANDIA CESPEDES, JAVIER FRANCISCO;T;S4-205;VI;16;18;37;;
BMA02;CALCULO INTEGRAL;U;G;ARAMBULO OSTOS, CARLOS EDUARDO;P;S4-211;MI;10;12;39;;
BMA02;CALCULO INTEGRAL;U;G;ARAMBULO OSTOS, CARLOS EDUARDO;T;S4-211;MA;10;12;39;;
