course_id,course_name,credits,cycle,subject_type_id,evaluation_system_id,total_weekly_hours,weekly_theory_hours,weekly_practice_hours,weekly_practice_laboratory_hours,weekly_laboratory_hours,max_cycle,min_cycle,note,required_credits,position
BIC01,Introducción a la Computación,2,1,1,7,3,1,,2,,,,"",,
BMA01,Calculo Diferencial,5,1,1,6,6,4,,2,,,,"",,
BQU01,Quimica I,5,1,1,7,6,4,,2,,,,"",,
BRC01,Redacción Y Comunicación,2,1,1,5,3,1,,2,,,,"",,
FB101,Geometría Analítica,3,1,1,6,4,2,,2,,,,"",,
SI101,Introducción al Pensamiento y a la Ing. de Sistemas,3,1,1,7,4,2,,2,,,,"",,
BEF01,Ética Y Filosofía Política,2,2,1,5,3,1,,2,,,,"",,
BMA02,Calculo Integral,5,2,1,6,6,4,,2,,,,"",,
BMA03,Algebra Lineal,4,2,1,6,5,3,,2,,,,"",,
SI201,Psicología Sistémica,3,2,1,7,4,2,,2,,,,"",,
SI203,Teoría y Ciencia de Sistemas,3,2,1,7,4,2,,2,,,,"",,
SI205,Algoritmia y Estructura de datos,3,2,1,7,4,2,,2,,,,"",,
SI207,Sistemas Biológicos y Ecológicos,2,2,1,6,3,1,,2,,,,"",,
BFI01,Física 1,5,3,1,7,6,4,,2,,,,"",,
FB301,Matemática Discreta,3,3,1,6,4,2,,2,,,,"",,
FB303,Calculo Multivariable,5,3,1,6,6,4,,2,,,,"",,
FB305,Estadística y Probabilidades,3,3,1,6,4,2,,2,,,,"",,
HU301,Metodología de la Investigación,2,3,1,5,4,0,,4,,,,"",,
SI301,Teoría y Ciencia de Sistemas Aplicados,2,3,1,6,3,1,,2,,,,"",,
SI302,Programación Orientada a Objetos,3,3,1,7,5,1,,4,,,,"",,
FB401,Física II,5,4,1,6,6,4,,2,,,,"",,
FB402,Cálculo Numérico,3,4,1,6,4,2,,2,,,,"",,
FB403,Ecuaciones Diferenciales,5,4,1,6,6,4,,2,,,,"",,
FB405,Estadística Aplicada,3,4,1,6,4,2,,2,,,,"",,
HU102,Desarrollo Personal,2,4,1,5,4,0,,4,,,,"",,
SI403,Metodología de los Sistemas Blandos,3,4,1,6,4,2,,2,,,,"",,
SI405,Modelado Conceptual de Datos,3,4,1,7,4,2,,2,,,,"",,
BEG01,Economía General,3,5,1,7,4,2,,2,,,,"",,
BRN01,"Realidad Nacional, Constitución Y Derechos Humanos",3,5,1,5,4,2,,2,,,,"",,
FB501,Matemática Aplicada,3,5,1,6,4,2,,2,,,,"",,
GE501,Teoria Organizacional,3,5,1,7,4,2,,2,,,,"",,
SI501,Investigación de Operaciones I,3,5,1,7,4,2,,2,,,,"",,
SI503,Ingeniería de Procesos,3,5,1,7,4,2,,2,,,,"",,
SI505,Diseño de Base de Datos,3,5,1,7,4,2,,2,,,,"",,
GE605,Sistema y Gestión Financiera,3,6,1,7,4,2,,2,,,,"",,
SI601,Investigación de Operaciones II,3,6,1,7,4,2,,2,,,,"",,
SI602,Dinámica de Sistemas,3,6,1,5,4,2,,2,,,,"",,
SI603,Modelado de Procesos de Ciclo de Vida de Sistemas,3,6,1,7,4,2,,2,,,,"",,
SI604,Análisis y Diseño de Sistemas,4,6,1,7,6,2,,4,,,,"",,
SI605,Arquitectura Empresarial,3,6,1,7,4,2,,2,,,,"",,
SI607,Arquitectura Computacional y Redes,3,6,1,7,4,2,,2,,,,"",,
GE703,Sistemas Integrados Empresariales,3,7,1,7,4,2,,2,,,,"",,
GE709,Sistemas de Calidad,2,7,1,6,4,2,,2,,,,"",,
SI701,Modelado Sistémico y Simulación,3,7,1,7,4,2,,2,,,,"",,
SI702,Taller de Dinámica de Sistemas,2,7,1,5,4,,,4,,,,"",,
SI704,Gestión de la Ingeniería de Sistemas,3,7,1,7,4,2,,2,,,,"",,
SI705,Estándares de la Ing. de Sistemas,2,7,1,7,3,1,,2,,,,"",,
SI707,Ingeniería de Software,3,7,1,7,4,2,,2,,,,"",,
GE801,Planeamiento y Gestión Estratégica,3,8,1,7,4,2,,2,,,,"",,
GE803,Sistemas Analiticos,2,8,1,5,4,0,,4,,,,"",,
SI801,Modelo del Sistema Viable,3,8,1,7,4,2,,2,,,,"",,
SI805,Integración de Sistemas,2,8,1,7,4,0,,4,,,,"",,
SI806,Desarrollo Adaptativo e Integrado del SW,2,8,1,5,4,,,4,,,,"",,
SI807,Sistemas de Inteligencia de Negocio,3,8,1,6,4,2,,2,,,,"",,
GE902,Diseño y Evaluación de Proyectos,3,9,1,7,4,2,,2,,,,"",,
