course_id,course_name,credits,cycle,subject_type_id,evaluation_system_id,total_weekly_hours,weekly_theory_hours,weekly_practice_hours,weekly_practice_laboratory_hours,weekly_laboratory_hours,max_cycle,min_cycle,note,required_credits,position
FB101,Geometría analítica,3,1,1,6,4,2,2,,,,,,,
BMA01,Cálculo diferencial,5,1,1,6,6,4,2,,,,,,,
BQU01,Química I,5,1,1,7,6,4,2,,,,,,,
BIC01,Introducción a la computación,2,1,1,7,3,1,2,,,,,,,
BRC01,Redacción y comunicación,2,1,1,5,3,1,2,,,,,,,
SI121,Introducción a la Ingeniería de Sistemas,3,1,1,7,4,2,2,,,,,,,
BEF01,Ética y filosofía política,2,1,1,5,3,1,2,,,,,,,
BMA03,Álgebra lineal,4,2,1,6,5,3,2,,,,,,,
BMA02,Cálculo integral,5,2,1,6,6,4,2,,,,,,,
BRN01,"Realidad nacional, constitución y derechos humanos",3,2,1,5,4,2,2,,,,,,,
BFI01,Física I,5,2,1,7,6,4,2,,,,,,,
SI205,Algoritmia y estructuras de datos,3,2,1,7,4,2,2,,,,,,,
TE205,Dibujo y geometría descriptiva,2,2,1,5,4,0,4,,,,,,,
FB301,Matemática discreta,3,3,1,6,4,2,2,,,,,,,
FB303,Cálculo multivariable,5,3,1,6,6,4,2,,,,,,,
FB401,Física II,5,3,1,6,6,4,2,,,,,,,
HU102,Desarrollo personal,2,3,1,5,4,0,4,,,,,,,
FB305,Estadística y probabilidades,3,3,1,6,4,2,2,,,,,,,
SI322,Ingeniería de requisitos,3,3,1,7,4,2,2,,,,,,,
SI302,Programación orientada a objetos,3,3,1,7,4,2,2,,,,,,,
FB403,Ecuaciones diferenciales,5,4,1,6,6,4,2,,,,,,,
BEG01,Economía general,3,4,1,7,4,2,2,,,,,,,
SI421,Arquitectura de computador y sistemas operativos,3,4,1,6,4,2,2,,,,,,,
FB405,Estadística aplicada,3,4,1,6,4,2,2,,,,,,,
SI422,Ciencia integrativa de sistemas,3,4,1,7,4,2,2,,,,,,,
SI405,Modelado conceptual de datos,3,4,1,7,4,2,2,,,,,,,
SI425,Transformación organizacional,3,4,1,6,4,2,2,,,,,,,
GE702,Ingeniería económica,3,5,1,,,,,,,,,,,
SI505,Diseño de base de datos,3,5,1,,,,,,,,,,,
SI524,Ingeniería de sistemas complejos,3,5,1,,,,,,,,,,,
SI523,Métodos estadísticos para aprendizaje automático,3,5,1,,,,,,,,,,,
SW507,Redes y comunicaciones,3,5,1,,,,,,,,,,,
SI526,Diseño empresarial II,3,5,1,,,,,,,,,,,
FB402,Cálculo numérico,3,5,1,,,,,,,,,,,
SI621,Gestión empresarial,3,6,1,,,,,,,,,,,
SI501,Investigación de operaciones I,3,6,1,,,,,,,,,,,
SI622,Ingeniería de Sistemas basada en modelos,3,6,1,,,,,,,,,,,
SI077,Inteligencia artificial,3,6,1,,,,,,,,,,,
SI624,Ingeniería de datos,3,6,1,,,,,,,,,,,
