from_course_id,to_course_id,relationship_type_id
FB101,BMA03,1
BMA01,BMA02,1
BMA01,BFI01,1
BIC01,SI205,1
FB101,TE205,1
BMA03,FB301,1
BMA02,FB303,1
BFI01,FB401,1
BEF01,HU102,1
BMA02,FB305,1
SI205,SI322,1
SI205,SI302,1
FB303,FB403,1
BRN01,BEG01,1
BIC01,SI421,1
FB305,FB405,1
SI121,SI422,1
SI322,SI405,1
SI302,SI405,1
SI322,SI425,1
FB402,FB501,1
FB403,SI602,1
SI524,SI403,1
SI622,SI725,1
SI622,SI726,1
SI822,SW901,1
SI707,SI721,1
FB403,SI521,1
SI723,SI827,1
SI823,SI928,1
SI827,SI927,1
SI827,SI925,1
SI827,SI727,1
SI155,SI926,1
SI621,SI722,1
SI724,SI923,1
SI724,SI075,1
SI403,SI604,1
FB501,SI604,1
SI621,GE701,1
GE701,GE802,1
SI621,GE805,1
SI621,GE906,1
SI621,GE903,1
